Column 1 1 1 1,Latitude,Longitude
"`Adraa, Syria",32.625278,36.106111
"al-Bara , Syria",35.6879042,36.539177
"al-Herak , Syria",32.7496729,36.30612370000001
"al-Kfeir , Syria",33.4425,35.7444444
"al-Qusayr , Syria",34.511944,36.576389
"al-Raqqa , Syria",35.9594106,38.9981052
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Aleppo, Syria",36.2116828,37.1472998
"Apamea 
",35.4165206,36.390609
"Apamea, Syria",35.4165206,36.390609
"Batuta, Syria",33.4841455,36.3129123
"Binnish 
, Syria",35.9581565,36.71189710000001
"Bosra, Syria",32.5181301,36.4816561
"Bosra, Syria",32.5181301,36.4816561
"Bosra, Syria",32.5181301,36.4816561
"Bosra, Syria",32.5181301,36.4816561
"Bosra, Syria",32.5181301,36.4816561
"Bosra, Syria",32.5181301,36.4816561
"Bosra, Syria",32.5181301,36.4816561
"Bosra, Syria",32.5181301,36.4816561
"Bosra, Syria",32.5181301,36.4816561
"Cherubim Monastery, Syria",33.7279282,36.37316800000001
"Dabiq, Syria",36.539778,37.269556
"Damascus, Syria",33.513,36.292
"Damascus, Syria",33.513,36.292
"Damascus, Syria",33.513,36.292
"Damascus, Syria",33.513,36.292
"Damascus, Syria",33.513,36.292
"Deir al-Z, Syria",33.146944,36.190278
"Dera`a, Syria",32.625278,36.106111
"Douma, Syria",33.572264,36.401811
"Dumeir , Syria",33.641944,36.692778
"Dura Europos , Syria",34.7480305,40.7298374
"Dura Europos , Syria",34.7480305,40.7298374
"Ebla , Syria",35.9383705,36.8716192
"Hama, Syria",35.133333,36.75
"Hama, Syria",35.133333,36.75
"Harim , Syria",36.2122529,36.5202616
"Hazart , Syria",35.9420948,39.0301859
"Heraqla, Syria",31.2260796,29.9777396
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Homs, Syria",34.730833,36.709444
"Idlib, Syria",35.933333,36.633333
"Inkhil 
, Syria",33.0145883,36.1273805
"Jobar , Syria",33.531,36.337111
"Jobar, Syria",33.531,36.337111
"Kafr `Aqab , Syria",31.2467416,29.9765122
"Kafr Takharim, Syria",36.116389,36.514722
"Khanasir , Syria",35.780319,37.512272
"Krak des Chevaliers , Syria",34.7568984,36.2947297
"Ma`arat al-Numan, Syria",35.638611,36.671667
"Ma`arat al-Numan, Syria",35.638611,36.671667
"Ma`arat al-Numan, Syria",35.638611,36.671667
"Ma`arat al-Numan, Syria",35.638611,36.671667
"Maaloula, Syria",33.844167,36.546667
